movieId,name,role
1,Jon Favreau,Director
1,Avi Arad,Producer
1,Kevin Feige,Producer
1,Robert Downey Jr. ,Cast
1,Gweneth Paltrow ,Cast
1,Terrence Howard,Cast
2,Louis Leterrier,Director
2,Avi Arad,Producer
2,Gale Ann Hurd,Producer
2,Kevin Feige,Producer
2,Edward Norton ,Cast
2,Liv Tyler ,Cast
2,Tim Roth,Cast
3,Jon Favreau,Director
3,Kevin Feige,Producer
3,Robert Downey Jr. ,Cast
3,Gweneth Paltrow ,Cast
3,Mickey Rourke,Cast
4,Kenneth Branagh,Director
4,Kevin Feige,Producer
4,Chris Hemsworth ,Cast
4,Anthony Hopkins ,Cast
4,Natalie Portman,Cast
5,Joe Jhonston,Director
5,Kevin Feige,Producer
5,Chris Evans ,Cast
5,Hugo Weaving ,Cast
5,Samuel L. Jackson,Cast
6,Joss Whedon,Director
6,Kevin Feige,Producer
6,Robert Downey Jr. ,Cast
6,Chris Evans ,Cast
6,Scarlett Johansson ,Cast
6,Jeremy Renner,Cast
7,Shane Black,Director
7,Kevin Feige,Producer
7,Robert Downey Jr. ,Cast
7,Gweneth Paltrow ,Cast
7,Guy Pearce,Cast
8,Alan Taylor,Director
8,Kevin Feige,Producer
8,Chris Hemsworth ,Cast
8,Natalie Portman ,Cast
8,Tom Hiddleston,Cast
9,Anthony Russo,Director
9,Joe Russo,Director
9,Kevin Feige,Producer
9,Chris Evans ,Cast
9,Scarlett Johansson ,Cast
9,Samuel L. Jackson,Cast
10,James Gunn,Director
10,Kevin Feige,Producer
10,Chris Patt ,Cast
10,Vin Diesel ,Cast
10,Bradely Cooper,Cast
11,Joss Whedon,Director
11,Kevin Feige,Producer
11,Robert Downey Jr. ,Cast
11,Chris Evans ,Cast
11,Chris Hemsworth ,Cast
11,Mark Ruffalo,Cast
12,Peyton Reed,Director
12,Kevin Feige,Producer
12,Paul Rudd ,Cast
12,Michael Douglas ,Cast
12,Corey Stall,Cast
13,Anthony Russo,Director
13,Joe Russo,Director
13,Kevin Feige,Producer
13,Robert Downey Jr. ,Cast
13,Chris Evans ,Cast
13,Scarlett Johansson ,Cast
13,Sebastian Stan,Cast
14,Scott Derrickson,Director
14,Kevin Feige,Producer
14,Benedict Cumberbatch ,Cast
14,Chiswetel Ejiofor ,Cast
14,Racheal McAdams,Cast
15,James Gunn,Director
15,Kevin Feige,Producer
15,Chris Patt ,Cast
15, Zoe Saldana ,Cast
15,Dave Bautista ,Cast
15,Vin Diesel,Cast
16,Jon Watts,Director
16,Kevin Feige,Producer
16,Amy Pascal,Producer
16,Tom Holland ,Cast
16,Michael Keaton ,Cast
16,Robert Downey Jr.,Cast
17,Taika Waititi,Director
17,Kevin Feige,Producer
17,Chris Hemsworth ,Cast
17,Cate Blanchett ,Cast
17,Tom Hiddleston,Cast
18,Ryan Coogler,Director
18,Kevin Feige,Producer
18,Chadwick Boseman ,Cast
18,Michael B. Jordan ,Cast
18,Lupita Nyong'o,Cast
19,Anthony Russo,Director
19,Joe Russo,Director
19,Kevin Feige,Producer
19,Robert Downey Jr. ,Cast
19,Chris Evans ,Cast
19,Chris Hemsworth ,Cast
19,Mark Ruffalo ,Cast
19,Josh Brolin,Cast
20,Peyton Reed,Director
20,Kevin Feige,Producer
20,Stephen Broussard,Producer
20,Paul Rudd ,Cast
20,Evangeline Lilly ,Cast
20,Micheal Pena,Cast
21,Anna Boden,Director
21,Ryan Fleck,Director
21,Kevin Feige,Producer
21,Brie Larson ,Cast
21,Samuel L. Jackson ,Cast
21,Ben Mendelsohn,Cast
22,Anthony Russo,Director
22,Joe Russo,Director
22,Kevin Feige,Producer
22,Robert Downey Jr. ,Cast
22,Chris Evans ,Cast
22,Chris Hemsworth ,Cast
22,Mark Ruffalo ,Cast
22,Josh Brolin,Cast
23,Jon Watts,Director
23,Kevin Feige,Producer
23,Amy Pascal,Producer
23,Tom Holland ,Cast
23,Samuel L. Jackson ,Cast
23,Jake Gyllenhaal,Cast
,,
,,
,,
